relation_id,environment,network_spec,case,category,expected_outcome,observed_outcome,python_outcome,sp1_outcome,passed,backend,source_summary,fixture_path,status,source_path
td_batch_distinct_v1,CartPole-v1,witness_q_values,tamper_duplicate_index,batch,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/distinct_td_sp1/summary.json,artifacts/fixtures/minibatch_td/distinct_td_sp1/tamper_duplicate_index.json,passed,artifacts/benchmarks/final_ndss/summary.json
td_batch_distinct_v1,CartPole-v1,witness_q_values,tamper_wrong_item_index,batch,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/distinct_td_sp1/summary.json,artifacts/fixtures/minibatch_td/distinct_td_sp1/tamper_wrong_item_index.json,passed,artifacts/benchmarks/final_ndss/summary.json
td_batch_distinct_v1,CartPole-v1,witness_q_values,tamper_swapped_item_order,batch,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/distinct_td_sp1/summary.json,artifacts/fixtures/minibatch_td/distinct_td_sp1/tamper_swapped_item_order.json,passed,artifacts/benchmarks/final_ndss/summary.json
td_batch_distinct_v1,CartPole-v1,witness_q_values,tamper_wrong_item_loss,arithmetic,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/distinct_td_sp1/summary.json,artifacts/fixtures/minibatch_td/distinct_td_sp1/tamper_wrong_item_loss.json,passed,artifacts/benchmarks/final_ndss/summary.json
td_batch_distinct_v1,CartPole-v1,witness_q_values,tamper_wrong_claimed_batch_average,batch,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/distinct_td_sp1/summary.json,artifacts/fixtures/minibatch_td/distinct_td_sp1/tamper_wrong_claimed_batch_average.json,passed,artifacts/benchmarks/final_ndss/summary.json
td_batch_distinct_v1,CartPole-v1,witness_q_values,tamper_wrong_path_order,commitment,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/distinct_td_sp1/summary.json,artifacts/fixtures/minibatch_td/distinct_td_sp1/tamper_wrong_path_order.json,passed,artifacts/benchmarks/final_ndss/summary.json
forward_td_mlp_v1,CartPole-v1,"4,16,16,2",tamper_online_model_weight,model,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/forward_td_mlp_sp1/summary.json,artifacts/fixtures/forward_td_mlp/tamper_online_model_weight.json,passed,artifacts/benchmarks/final_ndss/summary.json
forward_td_mlp_v1,CartPole-v1,"4,16,16,2",tamper_target_model_weight,model,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/forward_td_mlp_sp1/summary.json,artifacts/fixtures/forward_td_mlp/tamper_target_model_weight.json,passed,artifacts/benchmarks/final_ndss/summary.json
forward_td_mlp_v1,CartPole-v1,"4,16,16,2",tamper_activation,forward,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/forward_td_mlp_sp1/summary.json,artifacts/fixtures/forward_td_mlp/tamper_activation.json,passed,artifacts/benchmarks/final_ndss/summary.json
forward_td_mlp_v1,CartPole-v1,"4,16,16,2",tamper_relu_mask,forward,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/forward_td_mlp_sp1/summary.json,artifacts/fixtures/forward_td_mlp/tamper_relu_mask.json,passed,artifacts/benchmarks/final_ndss/summary.json
forward_td_mlp_v1,CartPole-v1,"4,16,16,2",tamper_argmax,forward,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/forward_td_mlp_sp1/summary.json,artifacts/fixtures/forward_td_mlp/tamper_argmax.json,passed,artifacts/benchmarks/final_ndss/summary.json
forward_td_mlp_v1,CartPole-v1,"4,16,16,2",tamper_selected_target_value,forward,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/forward_td_mlp_sp1/summary.json,artifacts/fixtures/forward_td_mlp/tamper_selected_target_value.json,passed,artifacts/benchmarks/final_ndss/summary.json
forward_td_mlp_v1,CartPole-v1,"4,16,16,2",tamper_claimed_batch_loss,arithmetic,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/forward_td_mlp_sp1/summary.json,artifacts/fixtures/forward_td_mlp/tamper_claimed_batch_loss.json,passed,artifacts/benchmarks/final_ndss/summary.json
forward_td_mlp_v1,MountainCar-v0,"2,8,8,3",tamper_selected_target_value,forward,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/second_env_mountaincar/summary.json,artifacts/fixtures/forward_td_mlp/mountaincar/tamper_selected_target_value.json,passed,artifacts/benchmarks/final_ndss/summary.json
forward_td_mlp_v1,MountainCar-v0,"2,8,8,3",tamper_argmax,forward,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/second_env_mountaincar/summary.json,artifacts/fixtures/forward_td_mlp/mountaincar/tamper_argmax.json,passed,artifacts/benchmarks/final_ndss/summary.json
one_step_sgd_tiny_v1,CartPole-v1,"4,8,2",tamper_gradient_tensor,update,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/one_step_sgd_tiny_sp1/summary.json,artifacts/fixtures/one_step_sgd_tiny/tamper_gradient_tensor.json,passed,artifacts/benchmarks/final_ndss/summary.json
one_step_sgd_tiny_v1,CartPole-v1,"4,8,2",tamper_delta_tensor,update,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/one_step_sgd_tiny_sp1/summary.json,artifacts/fixtures/one_step_sgd_tiny/tamper_delta_tensor.json,passed,artifacts/benchmarks/final_ndss/summary.json
one_step_sgd_tiny_v1,CartPole-v1,"4,8,2",tamper_learning_rate_fp,update,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/one_step_sgd_tiny_sp1/summary.json,artifacts/fixtures/one_step_sgd_tiny/tamper_learning_rate_fp.json,passed,artifacts/benchmarks/final_ndss/summary.json
one_step_sgd_tiny_v1,CartPole-v1,"4,8,2",tamper_post_model_weight,update,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/one_step_sgd_tiny_sp1/summary.json,artifacts/fixtures/one_step_sgd_tiny/tamper_post_model_weight.json,passed,artifacts/benchmarks/final_ndss/summary.json
one_step_sgd_tiny_v1,CartPole-v1,"4,8,2",tamper_post_model_commitment,update,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/one_step_sgd_tiny_sp1/summary.json,artifacts/fixtures/one_step_sgd_tiny/tamper_post_model_commitment.json,passed,artifacts/benchmarks/final_ndss/summary.json
one_step_sgd_tiny_v1,CartPole-v1,"4,8,2",tamper_smooth_l1_grad,update,reject,rejected,rejected,rejected,True,SP1 proof,artifacts/benchmarks/final_ndss/source_summaries/one_step_sgd_tiny_sp1/summary.json,artifacts/fixtures/one_step_sgd_tiny/tamper_smooth_l1_grad.json,passed,artifacts/benchmarks/final_ndss/summary.json
